Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
BT13 3AG,Yes,54.60612,-5.959808,144379,530647,NW443306,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",,,"","","Crumlin 1 Belfast","",,36,,95GG19S1,,N99999999,"(pseudo) Northern Ireland",,N00001122,N06000002,24,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24R+C3
BT13 3AH,No,0,0,,,,"","","",,,Northern Ireland,,"",1997-12-01,2006-11-01,"","",,,"","","","",,,,,,,"",,,,0,9,1,2019-11-23,"",,BT,BT13,"","Northern Ireland Water",
BT13 3AJ,No,54.603791,-5.956535,144576,530376,NW445303,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,2014-10-01,"","",,,"","","Shankill 1","",,31,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23V+G9
BT13 3AL,No,54.60294,-5.957197,144528,530284,NW445302,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1997-12-01,2006-11-01,"","",,,"","","Shankill 1","",,29,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,1,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23V+54
BT13 3AN,No,54.610922,-5.958484,144495,531176,NW444311,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,1991-12-01,"","",,,"","","Woodvale 3","",,45,,95GG51S3,,N99999999,"(pseudo) Northern Ireland",,N00001639,N06000002,17,8,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ26R+9J
BT13 3AP,Yes,54.604295,-5.957098,144542,530435,NW445304,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",2017-07-01,,"","",12,4,"","","Shankill 1","",,33,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23V+P5
BT13 3AQ,No,54.606091,-5.959686,144387,530644,NW443306,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,1991-12-01,"","",,,"","","Crumlin 1 Belfast","",,36,,95GG19S1,,N99999999,"(pseudo) Northern Ireland",,N00001122,N06000002,24,8,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24R+C4
BT13 3AR,No,54.603081,-5.958119,144469,530303,NW444303,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,1991-12-01,"","",,,"","","Shankill 1","",,29,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,8,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+6Q
BT13 3AS,No,54.602195,-5.958859,144416,530207,NW444302,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,2010-08-01,"","",,,"","","Shankill 1","",,27,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ22R+VF
BT13 3AT,Yes,54.604106,-5.957603,144509,530415,NW445304,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",2014-11-01,,"","",,,"","","Shankill 1","",,31,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+JX
